"","Product","FLOW","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"86","Total RD&D in Million USD (2010 prices and exch. rates)","3412 Diesel, kerosene and jet fuel substitutes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Total RD&D in Million USD (2010 prices and exch. rates)","3413 Algal biofuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Total RD&D in Million USD (2010 prices and exch. rates)","3414 Other liquid fuel substitutes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Total RD&D in Million USD (2010 prices and exch. rates)","3419 Unallocated production of liquid biofuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.515,3.517,24.007,30.347,71.967,76.01,83.507,185.862,71.843
"90","Total RD&D in Million USD (2010 prices and exch. rates)","342 Production of solid biofuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0.429,15.043,11.133,24.309,37.878,57.871,98.977,71.76
"91","Total RD&D in Million USD (2010 prices and exch. rates)","343 Production of biogases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.767,3.249,5.898,7.991,8.128,0
"92","Total RD&D in Million USD (2010 prices and exch. rates)","3431 Thermochemical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0.666,0.02,1.041,3.792,0
"93","Total RD&D in Million USD (2010 prices and exch. rates)","3432 Biochemical (incl. anaerobic digestion)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.399,2.583,5.878,6.95,4.335,0
"94","Total RD&D in Million USD (2010 prices and exch. rates)","3433 Other biogases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Total RD&D in Million USD (2010 prices and exch. rates)","3439 Unallocated production of biogases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
